Time,X,Y,Z,Roll,Pitch,Yaw
430 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
451 33 17 14 16 12 2021,-11936.148438,9178.917969,8.145752,0.0,0.0,34.362988
473 33 17 14 16 12 2021,-11936.148438,9178.917969,8.145752,0.0,0.0,34.362988
494 33 17 14 16 12 2021,-11936.148438,9178.917969,8.145752,0.0,0.0,34.362988
518 33 17 14 16 12 2021,-11934.96875,9179.316406,8.089569,0.0,0.0,39.206264
565 33 17 14 16 12 2021,-11934.96875,9179.316406,8.089569,0.0,0.0,39.206264
571 33 17 14 16 12 2021,-11934.96875,9179.316406,8.089569,0.0,0.0,39.206264
584 33 17 14 16 12 2021,-11936.014648,9178.050781,7.87735,0.0,0.0,36.376534
606 33 17 14 16 12 2021,-11936.014648,9178.050781,7.87735,0.0,0.0,36.376534
628 33 17 14 16 12 2021,-11936.014648,9178.050781,7.87735,0.0,0.0,36.376534
650 33 17 14 16 12 2021,-11936.014648,9178.050781,7.87735,0.0,0.0,36.376534
673 33 17 14 16 12 2021,-11936.014648,9178.050781,7.87735,0.0,0.0,36.376534
719 33 17 14 16 12 2021,-11938.255859,9176.686523,7.642487,0.0,0.0,29.201191
724 33 17 14 16 12 2021,-11938.255859,9176.686523,7.642487,0.0,0.0,29.201191
740 33 17 14 16 12 2021,-11938.77832,9176.306641,7.612244,0.0,0.0,27.621492
761 33 17 14 16 12 2021,-11938.77832,9176.306641,7.612244,0.0,0.0,27.621492
784 33 17 14 16 12 2021,-11938.77832,9176.306641,7.612244,0.0,0.0,27.621492
806 33 17 14 16 12 2021,-11938.803711,9176.294922,7.614511,0.0,0.0,27.550278
827 33 17 14 16 12 2021,-11938.803711,9176.294922,7.614511,0.0,0.0,27.550278
850 33 17 14 16 12 2021,-11938.893555,9176.250977,7.619787,0.0,0.0,27.294374
873 33 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
895 33 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
919 33 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
939 33 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
963 33 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
984 33 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
77 34 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
86 34 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
90 34 17 14 16 12 2021,-11939.012695,9176.193359,7.626754,0.0,0.0,26.956438
97 34 17 14 16 12 2021,-11942.361328,9175.254883,7.248446,0.0,0.0,18.814932
108 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
121 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
132 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
168 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
173 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
181 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
193 34 17 14 16 12 2021,-11944.275391,9174.717773,7.032227,0.0,0.0,14.164341
202 34 17 14 16 12 2021,-11945.086914,9175.004883,6.603979,0.0,0.0,14.210797
214 34 17 14 16 12 2021,-11945.226562,9175.054688,6.530182,0.0,0.0,14.2188
224 34 17 14 16 12 2021,-11945.226562,9175.054688,6.530182,0.0,0.0,14.2188
236 34 17 14 16 12 2021,-11945.226562,9175.054688,6.530182,0.0,0.0,14.2188
247 34 17 14 16 12 2021,-11945.226562,9175.054688,6.530182,0.0,0.0,14.2188
259 34 17 14 16 12 2021,-11945.226562,9175.054688,6.530182,0.0,0.0,14.2188
270 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
281 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
291 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
303 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
313 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
323 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
336 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
347 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
357 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
369 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
380 34 17 14 16 12 2021,-11946.660156,9175.390625,6.070338,0.0,0.0,12.890417
391 34 17 14 16 12 2021,-11953.361328,9175.842773,4.843475,0.0,0.0,-0.037598
402 34 17 14 16 12 2021,-11953.361328,9175.842773,4.843475,0.0,0.0,-0.037598
414 34 17 14 16 12 2021,-11954.376953,9176.007812,4.638,0.0,0.0,-1.751922
425 34 17 14 16 12 2021,-11954.376953,9176.007812,4.638,0.0,0.0,-1.751922
436 34 17 14 16 12 2021,-11954.376953,9176.007812,4.638,0.0,0.0,-1.751922
447 34 17 14 16 12 2021,-11956.020508,9176.258789,4.336975,0.0,0.0,-4.557573
458 34 17 14 16 12 2021,-11956.020508,9176.258789,4.336975,0.0,0.0,-4.557573
469 34 17 14 16 12 2021,-11957.049805,9176.431641,4.14595,0.0,0.0,-6.235738
480 34 17 14 16 12 2021,-11957.049805,9176.431641,4.14595,0.0,0.0,-6.235738
491 34 17 14 16 12 2021,-11957.887695,9176.581055,4.024078,0.0,0.0,-7.27816
502 34 17 14 16 12 2021,-11957.887695,9176.581055,4.024078,0.0,0.0,-7.27816
514 34 17 14 16 12 2021,-11958.845703,9176.765625,3.91684,0.0,0.0,-8.652568
525 34 17 14 16 12 2021,-11958.845703,9176.765625,3.91684,0.0,0.0,-8.652568
536 34 17 14 16 12 2021,-11958.845703,9176.765625,3.91684,0.0,0.0,-8.652568
546 34 17 14 16 12 2021,-11959.626953,9176.976562,3.810569,0.0,0.0,-9.420144
558 34 17 14 16 12 2021,-11959.900391,9177.049805,3.773361,0.0,0.0,-9.688886
569 34 17 14 16 12 2021,-11959.900391,9177.049805,3.773361,0.0,0.0,-9.688886
581 34 17 14 16 12 2021,-11959.900391,9177.049805,3.773361,0.0,0.0,-9.688886
